Gene name	Gene ID	Transcript ID	CCDS ID	APPRIS Annotation	MANE
OR10Z1	128368	NM_001004478.2	CCDS30901.1	PRINCIPAL:1	MANE Select
NECTIN4	81607	NM_030916.3	CCDS1216.1	PRINCIPAL:4	MANE Select
S100A8	6279	NM_002964.5	CCDS1038.1	PRINCIPAL:1	MANE Select
NTPCR	84284	NM_032324.3	CCDS1597.1	PRINCIPAL:1	MANE Select
SZT2	23334	NM_001365999.1	-	PRINCIPAL:1	MANE Select
TCEANC2	127428	NM_153035.3	CCDS587.1	PRINCIPAL:1	MANE Select
NRDC	4898	NM_001101662.2	CCDS41335.1	PRINCIPAL:1	MANE Select
UBIAD1	29914	NM_013319.3	CCDS129.1	PRINCIPAL:1	MANE Select
CR2	1380	NM_001006658.3	CCDS31007.1	PRINCIPAL:1	MANE Select
SPATA6	54558	NM_019073.4	CCDS551.1	PRINCIPAL:4	MANE Select
SLC16A1	6566	NM_003051.4	CCDS858.1	PRINCIPAL:1	MANE Select
DLGAP3	58512	NM_001080418.3	CCDS30670.1	PRINCIPAL:1	MANE Select
EPHA8	2046	NM_020526.5	CCDS225.1	PRINCIPAL:1	MANE Select
NBPF9	400818	NM_001388367.1	-	PRINCIPAL:1	MANE Select
GADD45A	1647	NM_001924.4	CCDS640.1	PRINCIPAL:1	MANE Select
CD52	1043	NM_001803.3	CCDS30647.1	PRINCIPAL:1	MANE Select
GPA33	10223	NM_005814.3	CCDS1258.1	PRINCIPAL:1	MANE Select
OR2M5	127059	NM_001004690.1	CCDS31105.1	PRINCIPAL:1	MANE Select
CREG1	8804	NM_003851.3	CCDS1262.1	PRINCIPAL:1	MANE Select
CCT3	7203	NM_005998.5	CCDS1140.2	PRINCIPAL:1	MANE Select
CYB5RL	606495	NM_001031672.4	CCDS44151.1	PRINCIPAL:1	MANE Select
TSACC	128229	NM_001304817.2	CCDS1141.1	PRINCIPAL:1	MANE Select
FAM110D	79927	NM_024869.3	CCDS41285.1	PRINCIPAL:1	MANE Select
AZIN2	113451	NM_052998.4	CCDS375.1	PRINCIPAL:1	MANE Select
SHE	126669	NM_001010846.3	CCDS30877.1	PRINCIPAL:1	MANE Select
B4GALT2	8704	NM_003780.5	CCDS506.1	PRINCIPAL:1	MANE Select
RPF1	80135	NM_025065.7	CCDS695.1	PRINCIPAL:1	MANE Select
THEM4	117145	NM_053055.5	CCDS1006.1	PRINCIPAL:1	MANE Select
TIMM17A	10440	NM_006335.3	CCDS1417.1	PRINCIPAL:1	MANE Select
HPCA	3208	NM_002143.3	CCDS370.1	PRINCIPAL:1	MANE Select
S100A14	57402	NM_020672.3	CCDS1046.1	PRINCIPAL:1	MANE Select
TRAPPC3	27095	NM_014408.5	CCDS404.1	PRINCIPAL:1	MANE Select
SLC45A1	50651	NM_001080397.3	CCDS30577.2	PRINCIPAL:1	MANE Select
ADIPOR1	51094	NM_015999.6	CCDS1430.1	PRINCIPAL:1	MANE Select
USP1	7398	NM_003368.5	CCDS621.1	PRINCIPAL:1	MANE Select
B3GALNT2	148789	NM_152490.5	CCDS1606.1	PRINCIPAL:1	MANE Select
FAM183A	440585	NM_001101376.3	CCDS44126.1	PRINCIPAL:1	MANE Select
HEATR1	55127	NM_018072.6	CCDS31066.1	PRINCIPAL:1	MANE Select
MANEAL	149175	NM_001113482.2	CCDS44110.1	PRINCIPAL:1	MANE Select
ZC3H11A	9877	NM_001376342.1	-	PRINCIPAL:2	MANE Select
HOOK1	51361	NM_015888.6	CCDS612.1	PRINCIPAL:1	MANE Select
SLC2A1	6513	NM_006516.4	CCDS477.1	PRINCIPAL:1	MANE Select
IPO13	9670	NM_014652.4	CCDS503.1	PRINCIPAL:1	MANE Select
ZBTB8B	728116	NM_001145720.2	CCDS44104.1	PRINCIPAL:1	MANE Select
LAMC2	3918	NM_005562.3	CCDS1352.1	PRINCIPAL:1	MANE Select
LYST	1130	NM_000081.4	CCDS31062.1	PRINCIPAL:2	MANE Select
S100A12	6283	NM_005621.2	CCDS1037.1	PRINCIPAL:1	MANE Select
ZFP69	339559	NM_001320179.2	CCDS30686.1	PRINCIPAL:4	MANE Select
ZBED6	100381270	NM_001395895.1	-	PRINCIPAL:1	MANE Select
S100A11	6282	NM_005620.2	CCDS1009.1	PRINCIPAL:1	MANE Select
CACHD1	57685	NM_020925.4	CCDS628.2	PRINCIPAL:1	MANE Select
LYSMD1	388695	NM_212551.5	CCDS986.1	PRINCIPAL:1	MANE Select
HJV	148738	NM_213653.4	CCDS72879.1	PRINCIPAL:1	MANE Select
OR2T33	391195	NM_001004695.2	CCDS31109.1	PRINCIPAL:1	MANE Select
