Gene name	Gene ID	Transcript ID	CCDS ID	APPRIS Annotation	MANE
CLCNKA	ENSG00000186510	ENST00000331433	CCDS167.1	PRINCIPAL:4	MANE_Select
YIPF1	ENSG00000058799	ENST00000072644	CCDS584.1	PRINCIPAL:1	MANE_Select
GFI1	ENSG00000162676	ENST00000294702	CCDS30773.1	PRINCIPAL:1	MANE_Select
CLIC4	ENSG00000169504	ENST00000374379	CCDS256.1	PRINCIPAL:1	MANE_Select
SYT11	ENSG00000132718	ENST00000368324	CCDS1122.1	PRINCIPAL:1	MANE_Select
SLC39A1	ENSG00000143570	ENST00000356205	CCDS1055.1	PRINCIPAL:1	MANE_Select
AMY1B	ENSG00000174876	ENST00000330330	CCDS30783.1	PRINCIPAL:1	MANE_Select
ARMH1	ENSG00000198520	ENST00000535358	CCDS53311.1	PRINCIPAL:1	MANE_Select
PLPP3	ENSG00000162407	ENST00000371250	CCDS604.1	PRINCIPAL:1	MANE_Select
LCE6A	ENSG00000235942	ENST00000431011	CCDS44227.1	PRINCIPAL:1	MANE_Select
SARS1	ENSG00000031698	ENST00000234677	CCDS795.1	PRINCIPAL:1	MANE_Select
PTGFR	ENSG00000122420	ENST00000370757	CCDS686.1	PRINCIPAL:1	MANE_Select
COA7	ENSG00000162377	ENST00000371538	CCDS570.1	PRINCIPAL:1	MANE_Select
CD2	ENSG00000116824	ENST00000369478	CCDS889.1	PRINCIPAL:1	MANE_Select
STRIP1	ENSG00000143093	ENST00000369795	CCDS30798.1	PRINCIPAL:1	MANE_Select
MRPS21	ENSG00000266472	ENST00000614145	CCDS950.1	PRINCIPAL:1	MANE_Select
NEGR1	ENSG00000172260	ENST00000357731	CCDS661.1	PRINCIPAL:1	MANE_Select
GLMN	ENSG00000174842	ENST00000370360	CCDS738.1	PRINCIPAL:1	MANE_Select
NTRK1	ENSG00000198400	ENST00000524377	CCDS1161.1	PRINCIPAL:4	MANE_Select
LEPROT	ENSG00000213625	ENST00000371065	CCDS630.1	PRINCIPAL:1	MANE_Select
LYPLAL1	ENSG00000143353	ENST00000366928	CCDS1522.1	PRINCIPAL:1	MANE_Select
PIGR	ENSG00000162896	ENST00000356495	CCDS1474.1	PRINCIPAL:1	MANE_Select
SLC45A3	ENSG00000158715	ENST00000367145	CCDS1458.1	PRINCIPAL:1	MANE_Select
