Ensembl_id	Transcript_id	Gene_name	HGNC_name_e107
ENSG00000235249.1	ENST00000426406.1	OR4F29	OR4F16
ENSG00000185097.2	ENST00000332831.2	OR4F16	OR4F16
ENSG00000188976.6	ENST00000327044.6	NOC2L	NOC2L
ENSG00000187961.9	ENST00000338591.3	KLHL17	KLHL17
ENSG00000187583.6	ENST00000379410.3	PLEKHN1	PLEKHN1
ENSG00000188290.6	ENST00000304952.6	HES4	HES4
ENSG00000187608.5	ENST00000379389.4	ISG15	ISG15
ENSG00000188157.9	ENST00000379370.2	AGRN	AGRN
ENSG00000237330.2	ENST00000453464.2	RNF223	RNF223
ENSG00000131591.13	ENST00000421241.2	C1orf159	C1orf159
ENSG00000131591.13	ENST00000379319.1	C1orf159	C1orf159
ENSG00000162571.9	ENST00000379290.1	TTLL10	TTLL10
ENSG00000162571.9	ENST00000379289.1	TTLL10	TTLL10
ENSG00000186891.9	ENST00000379268.2	TNFRSF18	TNFRSF18
ENSG00000186827.6	ENST00000379236.3	TNFRSF4	TNFRSF4
ENSG00000176022.3	ENST00000379198.2	B3GALT6	B3GALT6
ENSG00000184163.3	ENST00000330388.2	FAM132A	C1QTNF12
ENSG00000160087.16	ENST00000349431.6	UBE2J2	UBE2J2
ENSG00000160087.16	ENST00000360466.2	UBE2J2	UBE2J2
ENSG00000131584.14	ENST00000354700.5	ACAP3	ACAP3
ENSG00000169972.7	ENST00000379031.5	PUSL1	PUSL1
ENSG00000127054.14	ENST00000435064.1	CPSF3L	INTS11
ENSG00000224051.2	ENST00000343938.4	GLTPD1	CPTP
ENSG00000169962.4	ENST00000339381.5	TAS1R3	TAS1R3
ENSG00000162576.12	ENST00000309212.6	MXRA8	MXRA8
ENSG00000175756.9	ENST00000338370.3	AURKAIP1	AURKAIP1
ENSG00000175756.9	ENST00000338338.5	AURKAIP1	AURKAIP1
ENSG00000175756.9	ENST00000321751.5	AURKAIP1	AURKAIP1
ENSG00000175756.9	ENST00000378853.3	AURKAIP1	AURKAIP1
ENSG00000221978.7	ENST00000400809.3	CCNL2	CCNL2
ENSG00000242485.1	ENST00000344843.7	MRPL20	MRPL20
ENSG00000235098.4	ENST00000537107.1	ANKRD65	ANKRD65
ENSG00000205116.3	ENST00000378821.3	TMEM88B	TMEM88B
ENSG00000179403.10	ENST00000476993.1	VWA1	VWA1
