RefSeq_id	Gene_name	Protein_id	Transcript_id	CCDS	HGNC_name_e107
81399	OR4F16	NP_001005277.1	NM_001005277	CCDS41221.1	OR4F16
339451	KLHL17	NP_938073.1	NM_198317	CCDS30550.1	KLHL17
84069	PLEKHN1	NP_115505.2	NM_032129	CCDS4.1	PLEKHN1
57801	HES4	NP_066993.1	NM_021170	CCDS5.1	HES4
9636	ISG15	NP_005092.1	NM_005101	CCDS6.1	ISG15
375790	AGRN	NP_940978.2	NM_198576	CCDS30551.1	AGRN
401934	RNF223	NP_001192181.1	NM_001205252	CCDS53257.1	RNF223
54991	C1orf159	NP_060361.4	NM_017891	CCDS7.2	C1orf159
254173	TTLL10	NP_001123517.1	NM_001130045	CCDS44036.1	TTLL10
254173	TTLL10	XP_005244794.1	PRJNA168;XM_005244737	-	TTLL10
8784	TNFRSF18	NP_004186.1	NM_004195	CCDS10.1	TNFRSF18
7293	TNFRSF4	NP_003318.1	NM_003327	CCDS11.1	TNFRSF4
126792	B3GALT6	NP_542172.2	NM_080605	CCDS13.1	B3GALT6
388581	FAM132A	NP_001014980.1	NM_001014980	CCDS30554.1	C1QTNF12
118424	UBE2J2	NP_477515.2	NM_058167	CCDS14.1	UBE2J2
118424	UBE2J2	XP_005244775.1	PRJNA168;XM_005244718	-	UBE2J2
118424	UBE2J2	XP_005244776.1	PRJNA168;XM_005244719	-	UBE2J2
116983	ACAP3	NP_085152.2	NM_030649	CCDS19.2	ACAP3
126789	PUSL1	NP_699170.1	NM_153339	CCDS20.1	PUSL1
54973	CPSF3L	NP_060341.2	NM_017871	CCDS21.1	INTS11
80772	GLTPD1	NP_001025056.1	NM_001029885	CCDS30555.1	CPTP
80772	GLTPD1	XP_005244858.1	PRJNA168;XM_005244801	-	CPTP
54587	MXRA8	NP_115724.1	NM_032348	CCDS24.1	MXRA8
729759	OR4F29	NP_001005221.2	NM_001005221	CCDS41220.1	OR4F16
54998	AURKAIP1	NP_060370.1	NM_017900	CCDS25.1	AURKAIP1
54998	AURKAIP1	NP_001120701.1	NM_001127229	CCDS25.1	AURKAIP1
54998	AURKAIP1	NP_001120702.1	NM_001127230	CCDS25.1	AURKAIP1
81669	CCNL2	NP_112199.2	NM_030937	CCDS30557.1	CCNL2
55052	MRPL20	NP_060441.2	NM_017971	CCDS26.1	MRPL20
441869	ANKRD65	NP_001138682.1	NM_001145210	CCDS55558.1	ANKRD65
441869	ANKRD65	XP_005244809.1	PRJNA168;XM_005244752	-	ANKRD65
